2026-03-27 09:54:10,415 [INFO] === KODEX 코스닥150레버리지 모니터링 시작 ===
2026-03-27 09:54:12,164 [INFO] 초기 상태: 매입가 15,707원, 보유 64주
2026-03-27 09:54:12,164 [WARNING] 디스코드 알림 실패: send_order_discord() missing 5 required positional arguments: 'stock_code', 'stock_name', 'qty', 'price', and 'result'
2026-03-27 09:54:12,164 [INFO] 기준가: 매입 15,707 | 손절1 15,235 | 추가매수 15,549
2026-03-27 09:54:14,155 [INFO] 현재가: 15,670원 | 보유: 64주 | 손익: -0.23%
2026-03-27 09:54:48,857 [INFO] === KODEX 코스닥150레버리지 모니터링 시작 ===
2026-03-27 09:54:50,562 [INFO] 초기 상태: 매입가 15,707원, 보유 64주
2026-03-27 09:54:51,031 [INFO] 기준가: 매입 15,707 | 손절1 15,235 | 추가매수 15,549
2026-03-27 09:54:51,498 [INFO] 현재가: 15,625원 | 보유: 64주 | 손익: -0.52%
2026-03-27 09:55:22,882 [INFO] 현재가: 15,645원 | 보유: 64주 | 손익: -0.39%
2026-03-27 09:55:53,931 [INFO] 현재가: 15,715원 | 보유: 64주 | 손익: +0.05%
2026-03-27 09:56:26,076 [INFO] 현재가: 15,725원 | 보유: 64주 | 손익: +0.12%
2026-03-27 09:56:58,009 [INFO] 현재가: 15,750원 | 보유: 64주 | 손익: +0.28%
2026-03-27 09:57:29,838 [INFO] 현재가: 15,765원 | 보유: 64주 | 손익: +0.37%
2026-03-27 09:58:00,912 [INFO] 현재가: 15,725원 | 보유: 64주 | 손익: +0.12%
2026-03-27 09:58:33,892 [INFO] 현재가: 15,735원 | 보유: 64주 | 손익: +0.18%
2026-03-27 09:59:06,368 [INFO] 현재가: 15,725원 | 보유: 64주 | 손익: +0.12%
2026-03-27 09:59:39,085 [INFO] 현재가: 15,710원 | 보유: 64주 | 손익: +0.02%
2026-03-27 10:00:12,192 [INFO] 현재가: 15,715원 | 보유: 64주 | 손익: +0.05%
2026-03-27 10:00:44,024 [INFO] 현재가: 15,810원 | 보유: 64주 | 손익: +0.66%
2026-03-27 10:01:16,833 [INFO] 현재가: 15,805원 | 보유: 64주 | 손익: +0.63%
2026-03-27 10:01:50,142 [INFO] 현재가: 15,810원 | 보유: 64주 | 손익: +0.66%
2026-03-27 10:02:21,020 [INFO] 현재가: 15,870원 | 보유: 64주 | 손익: +1.04%
2026-03-27 10:02:52,865 [INFO] 현재가: 15,920원 | 보유: 64주 | 손익: +1.36%
2026-03-27 10:03:24,193 [INFO] 현재가: 15,880원 | 보유: 64주 | 손익: +1.10%
2026-03-27 10:03:55,980 [INFO] 현재가: 15,930원 | 보유: 64주 | 손익: +1.42%
2026-03-27 10:04:26,413 [INFO] 현재가: 15,900원 | 보유: 64주 | 손익: +1.23%
2026-03-27 10:04:56,969 [INFO] 현재가: 15,895원 | 보유: 64주 | 손익: +1.20%
2026-03-27 10:05:28,296 [INFO] 현재가: 15,940원 | 보유: 64주 | 손익: +1.49%
2026-03-27 10:05:59,872 [INFO] 현재가: 15,960원 | 보유: 64주 | 손익: +1.61%
2026-03-27 10:06:31,070 [INFO] 현재가: 15,965원 | 보유: 64주 | 손익: +1.65%
2026-03-27 10:07:02,360 [INFO] 현재가: 15,975원 | 보유: 64주 | 손익: +1.71%
2026-03-27 10:07:34,273 [INFO] 현재가: 15,985원 | 보유: 64주 | 손익: +1.77%
2026-03-27 10:08:05,907 [INFO] 현재가: 15,955원 | 보유: 64주 | 손익: +1.58%
2026-03-27 10:08:36,895 [INFO] 현재가: 15,945원 | 보유: 64주 | 손익: +1.52%
2026-03-27 10:09:09,309 [INFO] 현재가: 15,930원 | 보유: 64주 | 손익: +1.42%
2026-03-27 10:09:40,632 [INFO] 현재가: 15,980원 | 보유: 64주 | 손익: +1.74%
2026-03-27 10:10:12,428 [INFO] 현재가: 15,970원 | 보유: 64주 | 손익: +1.68%
2026-03-27 10:10:43,703 [INFO] 현재가: 16,025원 | 보유: 64주 | 손익: +2.03%
2026-03-27 10:11:15,315 [INFO] 현재가: 16,030원 | 보유: 64주 | 손익: +2.06%
2026-03-27 10:11:46,961 [INFO] 현재가: 16,055원 | 보유: 64주 | 손익: +2.22%
2026-03-27 10:12:17,831 [INFO] 현재가: 16,035원 | 보유: 64주 | 손익: +2.09%
2026-03-27 10:12:49,017 [INFO] 현재가: 16,050원 | 보유: 64주 | 손익: +2.19%
2026-03-27 10:13:21,086 [INFO] 현재가: 16,060원 | 보유: 64주 | 손익: +2.25%
2026-03-27 10:13:53,143 [INFO] 현재가: 16,075원 | 보유: 64주 | 손익: +2.35%
2026-03-27 10:14:25,446 [INFO] 현재가: 16,055원 | 보유: 64주 | 손익: +2.22%
2026-03-27 10:14:56,352 [INFO] 현재가: 16,050원 | 보유: 64주 | 손익: +2.19%
2026-03-27 10:15:27,111 [INFO] 현재가: 16,085원 | 보유: 64주 | 손익: +2.41%
2026-03-27 10:15:57,658 [INFO] 현재가: 16,080원 | 보유: 64주 | 손익: +2.38%
2026-03-27 10:16:29,296 [INFO] 현재가: 16,010원 | 보유: 64주 | 손익: +1.93%
2026-03-27 10:16:59,948 [INFO] 현재가: 16,035원 | 보유: 64주 | 손익: +2.09%
2026-03-27 10:17:31,193 [INFO] 현재가: 16,060원 | 보유: 64주 | 손익: +2.25%
2026-03-27 10:18:02,800 [INFO] 현재가: 16,060원 | 보유: 64주 | 손익: +2.25%
2026-03-27 10:18:33,692 [INFO] 현재가: 15,955원 | 보유: 64주 | 손익: +1.58%
2026-03-27 10:19:04,552 [INFO] 현재가: 15,925원 | 보유: 64주 | 손익: +1.39%
2026-03-27 10:19:36,120 [INFO] 현재가: 15,935원 | 보유: 64주 | 손익: +1.45%
2026-03-27 10:20:07,946 [INFO] 현재가: 15,940원 | 보유: 64주 | 손익: +1.49%
2026-03-27 10:20:38,372 [INFO] 현재가: 15,915원 | 보유: 64주 | 손익: +1.33%
2026-03-27 10:21:09,231 [INFO] 현재가: 15,940원 | 보유: 64주 | 손익: +1.49%
2026-03-27 10:21:40,226 [INFO] 현재가: 15,950원 | 보유: 64주 | 손익: +1.55%
2026-03-27 10:22:12,163 [INFO] 현재가: 16,005원 | 보유: 64주 | 손익: +1.90%
2026-03-27 10:22:44,004 [INFO] 현재가: 16,040원 | 보유: 64주 | 손익: +2.12%
2026-03-27 10:23:14,594 [INFO] 현재가: 16,025원 | 보유: 64주 | 손익: +2.03%
2026-03-27 10:23:46,044 [INFO] 현재가: 16,030원 | 보유: 64주 | 손익: +2.06%
2026-03-27 10:24:18,437 [INFO] 현재가: 16,070원 | 보유: 64주 | 손익: +2.31%
2026-03-27 10:24:50,178 [INFO] 현재가: 16,060원 | 보유: 64주 | 손익: +2.25%
