ID,종목코드,종목명,일시,시가,고가,저가,종가,거래량,생성일시
1,005930,삼성전자,2026-02-11T08:30:00,,,,165800,1085,2026-02-23 10:18:37
2,005930,삼성전자,2026-02-11T08:31:00,,,,165800,1086,2026-02-23 10:18:37
3,005930,삼성전자,2026-02-11T08:32:00,,,,165800,1087,2026-02-23 10:18:37
4,005930,삼성전자,2026-02-11T08:33:00,,,,165800,1136,2026-02-23 10:18:37
5,005930,삼성전자,2026-02-11T08:34:00,,,,165800,1141,2026-02-23 10:18:37
6,005930,삼성전자,2026-02-11T08:39:00,,,,165800,1191,2026-02-23 10:18:37
7,005930,삼성전자,2026-02-11T09:00:00,,,,164400,993479,2026-02-23 10:18:37
8,005930,삼성전자,2026-02-11T09:01:00,,,,164600,1126416,2026-02-23 10:18:37
9,005930,삼성전자,2026-02-11T09:02:00,,,,164900,1361603,2026-02-23 10:18:37
10,005930,삼성전자,2026-02-11T09:03:00,,,,164700,1462968,2026-02-23 10:18:37
11,005930,삼성전자,2026-02-11T09:04:00,,,,165000,1569304,2026-02-23 10:18:37
12,005930,삼성전자,2026-02-11T09:05:00,,,,165000,1637962,2026-02-23 10:18:37
13,005930,삼성전자,2026-02-11T09:06:00,,,,165200,1755035,2026-02-23 10:18:37
14,005930,삼성전자,2026-02-11T09:07:00,,,,165200,1842281,2026-02-23 10:18:37
15,005930,삼성전자,2026-02-11T09:08:00,,,,165100,1934766,2026-02-23 10:18:37
16,005930,삼성전자,2026-02-11T09:09:00,,,,164800,2036489,2026-02-23 10:18:37
17,005930,삼성전자,2026-02-11T09:10:00,,,,164500,2124600,2026-02-23 10:18:37
18,005930,삼성전자,2026-02-11T09:11:00,,,,164400,2187649,2026-02-23 10:18:37
19,005930,삼성전자,2026-02-11T09:12:00,,,,163900,2370377,2026-02-23 10:18:37
20,005930,삼성전자,2026-02-11T09:13:00,,,,163200,2588229,2026-02-23 10:18:37
21,005930,삼성전자,2026-02-11T09:14:00,,,,162800,2829591,2026-02-23 10:18:37
22,005930,삼성전자,2026-02-11T09:15:00,,,,162300,3197566,2026-02-23 10:18:37
23,005930,삼성전자,2026-02-11T09:16:00,,,,163200,3416528,2026-02-23 10:18:37
24,005930,삼성전자,2026-02-11T09:17:00,,,,163100,3546677,2026-02-23 10:18:37
25,005930,삼성전자,2026-02-11T09:18:00,,,,162800,3663909,2026-02-23 10:18:37
26,005930,삼성전자,2026-02-11T09:19:00,,,,162900,3805196,2026-02-23 10:18:37
27,005930,삼성전자,2026-02-11T09:20:00,,,,162600,3985256,2026-02-23 10:18:37
28,005930,삼성전자,2026-02-11T09:21:00,,,,163000,4095145,2026-02-23 10:18:37
29,005930,삼성전자,2026-02-11T09:22:00,,,,163400,4211275,2026-02-23 10:18:37
30,005930,삼성전자,2026-02-11T09:23:00,,,,163200,4295035,2026-02-23 10:18:37
31,005930,삼성전자,2026-02-11T09:24:00,,,,163500,4382814,2026-02-23 10:18:37
32,005930,삼성전자,2026-02-11T09:25:00,,,,163600,4460820,2026-02-23 10:18:37
33,005930,삼성전자,2026-02-11T09:26:00,,,,163500,4544417,2026-02-23 10:18:37
34,005930,삼성전자,2026-02-11T09:27:00,,,,163800,4637656,2026-02-23 10:18:37
35,005930,삼성전자,2026-02-11T09:28:00,,,,163700,4713154,2026-02-23 10:18:37
36,005930,삼성전자,2026-02-11T09:29:00,,,,163700,4773564,2026-02-23 10:18:37
37,005930,삼성전자,2026-02-11T09:30:00,,,,163700,4851855,2026-02-23 10:18:37
38,005930,삼성전자,2026-02-11T09:31:00,,,,164000,4930886,2026-02-23 10:18:37
39,005930,삼성전자,2026-02-11T09:32:00,,,,163900,5028425,2026-02-23 10:18:37
40,005930,삼성전자,2026-02-11T09:33:00,,,,163900,5079327,2026-02-23 10:18:37
41,005930,삼성전자,2026-02-11T09:34:00,,,,163800,5107445,2026-02-23 10:18:37
42,005930,삼성전자,2026-02-11T09:35:00,,,,163800,5166707,2026-02-23 10:18:37
43,005930,삼성전자,2026-02-11T09:36:00,,,,163800,5212349,2026-02-23 10:18:37
44,005930,삼성전자,2026-02-11T09:37:00,,,,163700,5282416,2026-02-23 10:18:37
45,005930,삼성전자,2026-02-11T09:38:00,,,,164100,5335753,2026-02-23 10:18:37
46,005930,삼성전자,2026-02-11T09:39:00,,,,163800,5389136,2026-02-23 10:18:37
47,005930,삼성전자,2026-02-11T09:40:00,,,,163600,5438870,2026-02-23 10:18:37
48,005930,삼성전자,2026-02-11T09:41:00,,,,163700,5469138,2026-02-23 10:18:37
49,005930,삼성전자,2026-02-11T09:42:00,,,,163900,5509335,2026-02-23 10:18:37
50,005930,삼성전자,2026-02-11T09:43:00,,,,164200,5552752,2026-02-23 10:18:37
51,005930,삼성전자,2026-02-11T09:44:00,,,,164400,5604868,2026-02-23 10:18:37
52,005930,삼성전자,2026-02-11T09:45:00,,,,164400,5659485,2026-02-23 10:18:37
53,005930,삼성전자,2026-02-11T09:46:00,,,,164400,5730154,2026-02-23 10:18:37
54,005930,삼성전자,2026-02-11T09:47:00,,,,164300,5783294,2026-02-23 10:18:37
55,005930,삼성전자,2026-02-11T09:48:00,,,,164100,5823553,2026-02-23 10:18:37
56,005930,삼성전자,2026-02-11T09:49:00,,,,164000,5849853,2026-02-23 10:18:37
57,005930,삼성전자,2026-02-11T09:50:00,,,,164400,5899962,2026-02-23 10:18:37
58,005930,삼성전자,2026-02-11T09:51:00,,,,164200,5950486,2026-02-23 10:18:37
59,005930,삼성전자,2026-02-11T09:52:00,,,,164400,5987871,2026-02-23 10:18:37
60,005930,삼성전자,2026-02-11T09:53:00,,,,164400,6023291,2026-02-23 10:18:37
61,005930,삼성전자,2026-02-11T09:54:00,,,,164200,6073507,2026-02-23 10:18:37
62,005930,삼성전자,2026-02-11T09:55:00,,,,164500,6128129,2026-02-23 10:18:37
63,005930,삼성전자,2026-02-11T09:56:00,,,,164600,6196019,2026-02-23 10:18:37
64,005930,삼성전자,2026-02-11T09:57:00,,,,164700,6277580,2026-02-23 10:18:37
65,005930,삼성전자,2026-02-11T09:58:00,,,,164500,6338361,2026-02-23 10:18:37
66,005930,삼성전자,2026-02-11T09:59:00,,,,164400,6392928,2026-02-23 10:18:37
67,005930,삼성전자,2026-02-11T10:00:00,,,,164600,6422706,2026-02-23 10:18:37
68,005930,삼성전자,2026-02-11T10:01:00,,,,164800,6511138,2026-02-23 10:18:37
69,005930,삼성전자,2026-02-11T10:02:00,,,,165000,6589133,2026-02-23 10:18:37
70,005930,삼성전자,2026-02-11T10:03:00,,,,165200,6644562,2026-02-23 10:18:37
71,005930,삼성전자,2026-02-11T10:04:00,,,,164800,6729868,2026-02-23 10:18:37
