2026-04-02 09:04:03,870 [INFO] === KODEX 코스닥150레버리지 모니터링 시작 ===
2026-04-02 09:04:32,588 [INFO] === KODEX 코스닥150레버리지 모니터링 시작 ===
2026-04-02 09:04:32,853 [INFO] 모의투자 Access Token 발급 완료
2026-04-02 09:04:33,393 [INFO] 초기 상태: 매입가 15,434원, 보유 186주
2026-04-02 09:04:33,785 [INFO] 기준가: 매입 15,434 | 손절1 14,971 | 추가매수 15,279
2026-04-02 09:04:34,225 [INFO] 현재가: 16,040원 | 보유: 186주 | 손익: +3.93%
2026-04-02 09:05:06,312 [INFO] 현재가: 16,015원 | 보유: 186주 | 손익: +3.77%
2026-04-02 09:05:37,790 [INFO] 현재가: 15,930원 | 보유: 186주 | 손익: +3.22%
2026-04-02 09:06:08,300 [INFO] 현재가: 15,935원 | 보유: 186주 | 손익: +3.25%
2026-04-02 09:06:39,120 [INFO] 현재가: 15,865원 | 보유: 186주 | 손익: +2.79%
2026-04-02 09:07:10,157 [INFO] 현재가: 15,815원 | 보유: 186주 | 손익: +2.47%
2026-04-02 09:07:41,206 [INFO] 현재가: 15,800원 | 보유: 186주 | 손익: +2.37%
2026-04-02 09:08:12,770 [INFO] 현재가: 15,790원 | 보유: 186주 | 손익: +2.31%
2026-04-02 09:08:43,714 [INFO] 현재가: 15,725원 | 보유: 186주 | 손익: +1.89%
2026-04-02 09:09:14,263 [INFO] 현재가: 15,775원 | 보유: 186주 | 손익: +2.21%
2026-04-02 09:09:45,732 [INFO] 현재가: 15,865원 | 보유: 186주 | 손익: +2.79%
